Date,HUA_clinecenter,SBUX_clinecenter,TIK_clinecenter,HUA_brandwatch,SBUX_brandwatch,TIK_brandwatch
2019-09-06,0.631,2.355,2.143,1.504,-0.035,3.931
2019-09-07,2.143,1.842,3.000,-0.384,0.324,3.298
2019-09-09,1.962,2.222,3.182,-0.480,-0.160,3.469
2019-09-10,2.179,0.500,2.826,0.397,0.008,1.002
2019-09-11,1.712,2.963,2.778,0.358,0.377,-0.061
2019-09-12,0.844,1.301,0.000,0.420,0.200,1.330
2019-09-13,1.562,0.918,3.889,0.188,0.769,4.194
2019-09-17,1.988,2.553,-1.471,0.991,0.345,2.967
2019-09-18,1.786,3.873,1.250,0.357,0.994,3.220
2019-09-19,2.265,3.852,0.000,1.499,0.640,2.936
2019-09-20,0.867,2.869,1.500,-0.271,-1.432,1.492
2019-09-21,3.696,3.824,0.714,0.229,-2.007,-0.476
2019-09-22,0.500,1.818,3.000,-0.347,0.067,0.613
2019-09-23,-0.213,1.176,3.000,-0.040,1.129,3.248
2019-09-24,0.952,2.895,3.462,-0.444,-0.106,3.434
2019-09-25,0.690,2.353,0.000,-0.303,-1.320,2.280
2019-09-26,0.217,2.500,1.154,0.187,-2.138,3.101
2019-09-27,-0.972,1.512,2.895,1.077,0.653,4.195
2019-09-28,-0.455,0.000,-1.667,2.054,1.589,4.691
2019-09-29,2.333,0.926,3.000,1.508,0.750,4.529
2019-09-30,-0.500,-0.345,4.286,0.050,-0.451,2.458
2019-10-01,1.444,1.129,-0.357,-0.666,0.909,0.565
2019-10-02,1.562,2.174,-0.806,-0.165,1.192,2.174
2019-10-03,-0.870,2.674,0.833,-0.370,0.124,1.893
2019-10-04,2.647,0.714,2.407,-1.886,0.961,1.747
2019-10-05,1.875,0.625,2.333,-0.118,2.015,1.699
2019-10-06,-1.600,-0.652,0.833,-1.133,0.984,4.360
2019-10-07,-1.618,1.216,3.462,-0.824,2.010,4.910
2019-10-08,-1.239,2.568,0.366,-1.538,2.453,4.700
2019-10-09,-0.413,-0.294,2.000,-1.549,2.048,3.264
2019-10-10,0.620,0.319,-0.455,-2.512,0.707,2.399
2019-10-11,1.900,-1.000,0.833,-1.549,-0.011,1.151
2019-10-13,-1.500,-3.333,0.714,-0.381,-0.993,3.601
2019-10-14,-0.333,-1.250,1.190,-0.338,-0.380,3.703
2019-10-15,0.909,1.341,1.857,1.289,0.202,0.744
2019-10-16,0.495,1.471,0.294,-0.921,1.846,-0.338
2019-10-17,0.857,3.788,1.296,-0.538,-0.908,1.743
2019-10-18,-0.769,3.235,1.522,-1.327,0.848,1.875
2019-10-19,2.143,3.889,2.647,-0.828,4.675,1.939
2019-10-20,-0.238,2.000,2.727,-0.091,4.446,2.961
